stratum,model,fold_seed,clinical need (step 0 to 1),social position (step 1 to 2),step 2 skill
low,lightgbm,20260922,0.0004242024731164751,0.009669137219103785,0.01009333969222026
intermediate,logistic,20260913,0.004936026327597931,0.005613882366073408,0.01054990869367134
intermediate,logistic,20260914,0.004899375742477008,0.005560863591236309,0.010460239333713317
intermediate,logistic,20260915,0.004925063253925388,0.0056258214299584886,0.010550884683883877
intermediate,logistic,20260916,0.004877167520928594,0.005590416053244285,0.010467583574172878
intermediate,logistic,20260917,0.0049345720380595814,0.005603149077898606,0.010537721115958187
intermediate,logistic,20260918,0.004883820241424086,0.005363048121347136,0.010246868362771222
intermediate,logistic,20260919,0.0049331957819245265,0.005569266696130337,0.010502462478054864
intermediate,logistic,20260920,0.00489306042427462,0.0056287462279148714,0.010521806652189492
intermediate,logistic,20260921,0.004866754809205176,0.005618256835356106,0.010485011644561282
intermediate,logistic,20260922,0.004891501633852324,0.005623231388540817,0.010514733022393141
intermediate,lightgbm,20260913,0.0054841794777891195,0.009306521591469274,0.014790701069258394
intermediate,lightgbm,20260914,0.005289399455261856,0.009295182236262467,0.014584581691524323
intermediate,lightgbm,20260915,0.005311250339365081,0.009206743278526885,0.014517993617891967
intermediate,lightgbm,20260916,0.00538161577582863,0.00915463504530345,0.01453625082113208
intermediate,lightgbm,20260917,0.0054424777243701206,0.00927380369814712,0.014716281422517241
intermediate,lightgbm,20260918,0.005108000556314107,0.009720796247910668,0.014828796804224775
intermediate,lightgbm,20260919,0.00535667342784607,0.00934187795604402,0.01469855138389009
intermediate,lightgbm,20260920,0.005499585613385927,0.009050685617335352,0.014550271230721279
intermediate,lightgbm,20260921,0.0052396034870474395,0.009517542125956568,0.014757145613004008
intermediate,lightgbm,20260922,0.005175679313723758,0.009621800595422725,0.014797479909146483
high,logistic,20260913,0.03529826421587412,0.00858846252126777,0.04388672673714189
high,logistic,20260914,0.03523001221318611,0.008530321295672771,0.043760333508858884
high,logistic,20260915,0.035279471655307315,0.008515356417091002,0.04379482807239832
high,logistic,20260916,0.03524747918797555,0.00858648437556131,0.04383396356353686
high,logistic,20260917,0.03534948734883325,0.008507080341107476,0.04385656768994073
high,logistic,20260918,0.03530687986808545,0.008594784306282577,0.04390166417436803
high,logistic,20260919,0.03532183038015546,0.0084889643274344,0.04381079470758986
high,logistic,20260920,0.03536127746707418,0.008469908065287468,0.04383118553236165
high,logistic,20260921,0.03512340124818181,0.008585513981770876,0.04370891522995268
high,logistic,20260922,0.03528561043455758,0.008490541243296512,0.04377615167785409
high,lightgbm,20260913,0.03725373410402588,0.01177073576502552,0.0490244698690514
high,lightgbm,20260914,0.03709786878138566,0.011757893648054685,0.04885576242944034
high,lightgbm,20260915,0.03741778374689808,0.011651429141020686,0.04906921288791877
high,lightgbm,20260916,0.03716588033576218,0.011775491407606031,0.04894137174336821
high,lightgbm,20260917,0.03711594329460144,0.012017760479804296,0.049133703774405735
high,lightgbm,20260918,0.03722032049424795,0.011851905066447288,0.04907222556069524
high,lightgbm,20260919,0.0372349576640677,0.01188172484791361,0.04911668251198131
high,lightgbm,20260920,0.03713560084672707,0.011812605719673575,0.04894820656640064
high,lightgbm,20260921,0.037208481999723486,0.011636304462530833,0.04884478646225432
high,lightgbm,20260922,0.03703626228405221,0.011845102284437692,0.048881364568489905
unknown,logistic,20260913,0.00660774551292842,0.004042389217373543,0.010650134730301963
unknown,logistic,20260914,0.006334468918636871,0.004500923612784646,0.010835392531421517
unknown,logistic,20260915,0.006182172689780052,0.003648857655009885,0.009831030344789937
unknown,logistic,20260916,0.006305254883043898,0.004030594963262413,0.010335849846306311
unknown,logistic,20260917,0.006619833019102295,0.004089431272651711,0.010709264291754006
unknown,logistic,20260918,0.006245914147563814,0.004816599185192949,0.011062513332756763
unknown,logistic,20260919,0.006456597556165122,0.004541574043215091,0.010998171599380213
unknown,logistic,20260920,0.006031061357444134,0.004511485700105511,0.010542547057549645
unknown,logistic,20260921,0.00623494825830917,0.0032219085493691013,0.009456856807678271
unknown,logistic,20260922,0.006604934752206804,0.003956367621458123,0.010561302373664927
unknown,lightgbm,20260913,0.005873199141206542,0.013738876296901847,0.01961207543810839
unknown,lightgbm,20260914,0.00555046274008586,0.012695121083839744,0.018245583823925604
unknown,lightgbm,20260915,0.0049991220956751015,0.014254282987308686,0.019253405082983788
unknown,lightgbm,20260916,0.005466872157991576,0.013274962727172546,0.01874183488516412
unknown,lightgbm,20260917,0.006736075696445631,0.012172474274915634,0.018908549971361266
unknown,lightgbm,20260918,0.004945760873791172,0.012932701671455105,0.017878462545246276
unknown,lightgbm,20260919,0.005677938970925056,0.012387844615526777,0.018065783586451833
unknown,lightgbm,20260920,0.00577541188017805,0.012836580051483026,0.018611991931661076
unknown,lightgbm,20260921,0.004519600672749258,0.012220791231735695,0.016740391904484953
unknown,lightgbm,20260922,0.005174417933191844,0.012339486563219038,0.01751390449641088
