scenario,stratum,model,comparison,estimate,lower,upper,n_resamples,level,metric
risk_grade_psa_only,unknown,logistic,clinical need (step 0 to 1),0.008778293152292838,0.0063454318543649454,0.011315230365163267,500,0.95,log-loss skill
risk_grade_psa_only,unknown,logistic,social position (step 1 to 2),0.005100742104138245,0.0016462866620437278,0.00865093197396217,500,0.95,log-loss skill
risk_grade_psa_only,unknown,lightgbm,clinical need (step 0 to 1),0.006971745479941838,0.004137911283240192,0.009839008948735253,500,0.95,log-loss skill
risk_grade_psa_only,unknown,lightgbm,social position (step 1 to 2),0.012102329481750163,0.005884768556186083,0.01924646546515858,500,0.95,log-loss skill
surgery_only,all,logistic,clinical need (step 0 to 1),0.01657648278762358,0.014859263384731761,0.018128858308778584,500,0.95,log-loss skill
surgery_only,all,logistic,social position (step 1 to 2),0.006639609240269961,0.004755634204713496,0.00875041293959195,500,0.95,log-loss skill
surgery_only,all,lightgbm,clinical need (step 0 to 1),0.016554437266795508,0.014920513518417139,0.018088339823629205,500,0.95,log-loss skill
surgery_only,all,lightgbm,social position (step 1 to 2),0.010010298295819564,0.007908098812197074,0.01261903319126837,500,0.95,log-loss skill
surgery_only,low,logistic,clinical need (step 0 to 1),0.0005431119470893364,-9.885253361331388e-05,0.0012327607378894653,500,0.95,log-loss skill
surgery_only,low,logistic,social position (step 1 to 2),0.007075648977728832,0.004675743552025641,0.010699898792022282,500,0.95,log-loss skill
surgery_only,low,lightgbm,clinical need (step 0 to 1),-0.0015087191022995494,-0.0028156750685293325,-0.0001946207194737599,500,0.95,log-loss skill
surgery_only,low,lightgbm,social position (step 1 to 2),0.008765491979235707,0.005985787787282709,0.011935824476551329,500,0.95,log-loss skill
surgery_only,intermediate,logistic,clinical need (step 0 to 1),0.003260973435534109,0.002132525843863814,0.004417547372401423,500,0.95,log-loss skill
surgery_only,intermediate,logistic,social position (step 1 to 2),0.005897397190860354,0.003700553575301799,0.008293715646294253,500,0.95,log-loss skill
surgery_only,intermediate,lightgbm,clinical need (step 0 to 1),0.0005504059028516028,-0.0006196944023681372,0.001747166735989002,500,0.95,log-loss skill
surgery_only,intermediate,lightgbm,social position (step 1 to 2),0.009016479066430882,0.006545510964106464,0.011953787417223704,500,0.95,log-loss skill
surgery_only,high,logistic,clinical need (step 0 to 1),0.02204846182851894,0.019582451499661348,0.02416758204725441,500,0.95,log-loss skill
surgery_only,high,logistic,social position (step 1 to 2),0.007676857382912128,0.005553014833687371,0.009932206836072398,500,0.95,log-loss skill
surgery_only,high,lightgbm,clinical need (step 0 to 1),0.02127375566325329,0.018834985062728564,0.023220687984288148,500,0.95,log-loss skill
surgery_only,high,lightgbm,social position (step 1 to 2),0.01072780794219752,0.00851390968693511,0.013578179194502845,500,0.95,log-loss skill
surgery_only,unknown,logistic,clinical need (step 0 to 1),0.009065100419995531,0.005671669772826913,0.012464516736453464,500,0.95,log-loss skill
surgery_only,unknown,logistic,social position (step 1 to 2),0.006248010359606093,0.0018787616848857107,0.010086482600472674,500,0.95,log-loss skill
surgery_only,unknown,lightgbm,clinical need (step 0 to 1),0.0061967082569793774,0.0012304353927486726,0.011553681344348752,500,0.95,log-loss skill
surgery_only,unknown,lightgbm,social position (step 1 to 2),0.0074243551906455485,-0.001303822613939722,0.0142246233968493,500,0.95,log-loss skill
exclude_2020,all,logistic,clinical need (step 0 to 1),0.02918385665634582,0.02602815299232985,0.03278496358774741,500,0.95,log-loss skill
exclude_2020,all,logistic,social position (step 1 to 2),0.006411769010648216,0.00400093362755438,0.009084134888630429,500,0.95,log-loss skill
exclude_2020,all,lightgbm,clinical need (step 0 to 1),0.030815746394413868,0.02763035329749561,0.03421927004945532,500,0.95,log-loss skill
exclude_2020,all,lightgbm,social position (step 1 to 2),0.010275104623461706,0.007508935701462047,0.013490274667368051,500,0.95,log-loss skill
exclude_2020,low,logistic,clinical need (step 0 to 1),0.001414384754852116,0.0008227523475418195,0.002032156482918043,500,0.95,log-loss skill
exclude_2020,low,logistic,social position (step 1 to 2),0.005870924542716094,0.002771605455326326,0.009676320691487092,500,0.95,log-loss skill
exclude_2020,low,lightgbm,clinical need (step 0 to 1),0.0007587127024079043,-0.0001424543571196368,0.00180063657237012,500,0.95,log-loss skill
exclude_2020,low,lightgbm,social position (step 1 to 2),0.009521350325304656,0.006739882311372726,0.012662640595755089,500,0.95,log-loss skill
exclude_2020,intermediate,logistic,clinical need (step 0 to 1),0.004721006379485138,0.003940310847602241,0.005425869367777869,500,0.95,log-loss skill
exclude_2020,intermediate,logistic,social position (step 1 to 2),0.0057632241269335305,0.0033385855305458683,0.008596793001442109,500,0.95,log-loss skill
exclude_2020,intermediate,lightgbm,clinical need (step 0 to 1),0.005337668647832916,0.004190767891592645,0.006398101397866514,500,0.95,log-loss skill
exclude_2020,intermediate,lightgbm,social position (step 1 to 2),0.009761670773524633,0.006644331103589946,0.013454323399719194,500,0.95,log-loss skill
exclude_2020,high,logistic,clinical need (step 0 to 1),0.03500088016878555,0.03123762853363198,0.03845403951282012,500,0.95,log-loss skill
exclude_2020,high,logistic,social position (step 1 to 2),0.008934231664383452,0.006167214991839699,0.011997663666707238,500,0.95,log-loss skill
exclude_2020,high,lightgbm,clinical need (step 0 to 1),0.03717886160009087,0.03333649840561682,0.040653073184940595,500,0.95,log-loss skill
exclude_2020,high,lightgbm,social position (step 1 to 2),0.01203066855706536,0.009143164567948878,0.015838335024738002,500,0.95,log-loss skill
exclude_2020,unknown,logistic,clinical need (step 0 to 1),0.006073664256239564,0.003863245021682024,0.008511073522964718,500,0.95,log-loss skill
exclude_2020,unknown,logistic,social position (step 1 to 2),0.00428902716167745,0.0003197049855505813,0.008322246683266846,500,0.95,log-loss skill
exclude_2020,unknown,lightgbm,clinical need (step 0 to 1),0.003857358037627545,0.0012723965639191764,0.007173615730419977,500,0.95,log-loss skill
exclude_2020,unknown,lightgbm,social position (step 1 to 2),0.013312976418526024,0.006114159435472503,0.02206746883404975,500,0.95,log-loss skill
include_2023,all,logistic,clinical need (step 0 to 1),0.0304891958390604,0.027158796030434952,0.034197489520132136,500,0.95,log-loss skill
include_2023,all,logistic,social position (step 1 to 2),0.005578299721476276,0.0034811581588349077,0.007992210599633497,500,0.95,log-loss skill
include_2023,all,lightgbm,clinical need (step 0 to 1),0.032255145309104005,0.028879693554391468,0.035954285984862645,500,0.95,log-loss skill
include_2023,all,lightgbm,social position (step 1 to 2),0.009355760252652723,0.006907404018509806,0.012202208505648482,500,0.95,log-loss skill
include_2023,low,logistic,clinical need (step 0 to 1),0.0013740611708613626,0.0008263326853091337,0.001919080124744937,500,0.95,log-loss skill
include_2023,low,logistic,social position (step 1 to 2),0.005737079040989412,0.0026852813150237687,0.008927486765853145,500,0.95,log-loss skill
include_2023,low,lightgbm,clinical need (step 0 to 1),0.0006135025039689657,-0.0004925101898614169,0.0015158266327227191,500,0.95,log-loss skill
include_2023,low,lightgbm,social position (step 1 to 2),0.009804947018685839,0.007172738183186586,0.01279450900830395,500,0.95,log-loss skill
include_2023,intermediate,logistic,clinical need (step 0 to 1),0.004818321580422613,0.003997560851361451,0.005518927282620836,500,0.95,log-loss skill
include_2023,intermediate,logistic,social position (step 1 to 2),0.005105927334643656,0.0030980812869082753,0.007527788381700828,500,0.95,log-loss skill
include_2023,intermediate,lightgbm,clinical need (step 0 to 1),0.005646217176315971,0.004439896974905944,0.006683907959439591,500,0.95,log-loss skill
