scenario,stratum,model,step,log_loss,brier,auc,calibration_intercept,calibration_slope,log_loss_skill,brier_skill
surgery_only,all,lightgbm,1,0.655965014736935,0.23196301145742992,0.6173453325757934,0.00012485871956471883,0.986713823797523,0.016554437266795508,0.021726805232824442
surgery_only,all,lightgbm,2,0.6492880763094648,0.22889916185450987,0.6349779511027649,0.00010450225348986042,1.0168560308820946,0.02656473556261507,0.034648184035861784
surgery_only,low,logistic,0,0.6800560647173981,0.2434859905694331,0.571873104797506,-2.3373027932885315e-06,1.0127784389688486,0.0,0.0
surgery_only,low,logistic,1,0.6796867181439595,0.24330697906790752,0.5755119377761108,-0.0001139100898421598,1.001689458293507,0.0005431119470893364,0.0007352024693779713
surgery_only,low,logistic,2,0.6748748801448435,0.24098170796479723,0.597707426957758,-1.979440328457073e-05,0.9851672679423549,0.007618760924818169,0.010285119890385386
surgery_only,low,lightgbm,0,0.679334673202575,0.24313348556047734,0.5719495071376903,3.746944891205861e-06,0.9700654690338116,0.0,0.0
surgery_only,low,lightgbm,1,0.6803595984008901,0.24362046209854266,0.5757968778035996,-0.0004369285738313952,0.8183672721727272,-0.0015087191022995494,-0.002002918425418443
surgery_only,low,lightgbm,2,0.6744048957717163,0.2407252774879542,0.6007256589609973,0.0011846338241221742,0.8594222297644931,0.007256772876936157,0.00990488030462644
surgery_only,intermediate,logistic,0,0.6686459069760842,0.2379196948745504,0.5924470284728002,-6.229359397742556e-05,1.0105011661294239,0.0,0.0
surgery_only,intermediate,logistic,1,0.6664654704356565,0.23688120280565508,0.6001343732826004,1.1150987893673251e-05,1.0072317361425287,0.003260973435534109,0.004364884838318539
surgery_only,intermediate,logistic,2,0.6625221999421755,0.23503101025830242,0.6120890556083595,-4.1590149878982475e-05,0.9967760591976234,0.009158370626394463,0.012141427038106722
surgery_only,intermediate,lightgbm,0,0.6680446812595516,0.23764908010941305,0.5923738018087502,-2.2054637170035134e-05,0.9909624626074873,0.0,0.0
surgery_only,intermediate,lightgbm,1,0.6676769855236178,0.23746028826082421,0.5963597164938397,6.375522658549947e-05,0.8897758764401069,0.0005504059028516028,0.000794414388231246
surgery_only,intermediate,lightgbm,2,0.6616535746396005,0.23464034461696737,0.6147371831114639,-3.585166663891415e-06,0.9376386491477016,0.009566884969282485,0.012660412954514588
surgery_only,high,logistic,0,0.655505264328833,0.23152184567308698,0.5849325942225103,0.00015957584641823098,1.007768464777449,0.0,0.0
surgery_only,high,logistic,1,0.6410523815298855,0.22490148597630238,0.6296798599297423,-2.0313221869468212e-05,1.0002579237630096,0.02204846182851894,0.028594967691008555
surgery_only,high,logistic,2,0.636020161101885,0.22267133439948208,0.64185871381387,1.439200301517167e-05,0.9963671484315743,0.029725319211431067,0.038227542838881745
surgery_only,high,lightgbm,0,0.6542917809347428,0.23096550681853445,0.5857851606270208,7.201502315586777e-05,0.992646379278767,0.0,0.0
surgery_only,high,lightgbm,1,0.6403725374546623,0.22457787755916936,0.6310497590088868,0.0003237296721609467,0.9651432733323919,0.02127375566325329,0.027656204371606652
surgery_only,high,lightgbm,2,0.633353420890636,0.22143220295839489,0.6479651158597042,0.0002546265445596656,0.9949443670826499,0.03200156360545081,0.04127587704093716
surgery_only,unknown,logistic,0,0.6488499076639332,0.22837227608112162,0.603163041522164,0.0001503161705860099,1.0627677681076733,0.0,0.0
surgery_only,unknown,logistic,1,0.6429680180934548,0.22561141148446304,0.6237358662066989,0.0004806040498174218,1.040580859706602,0.009065100419995531,0.012089315936396283
surgery_only,unknown,logistic,2,0.6389139971485411,0.22377362775051646,0.6351964166430277,0.0009803179455745489,0.9937876377155731,0.015313110779601624,0.020136631335108457
surgery_only,unknown,lightgbm,0,0.6482466846664565,0.2281343037218777,0.6034640947509371,-2.078088584474974e-05,0.9511091515057255,0.0,0.0
surgery_only,unknown,lightgbm,1,0.6442296890830244,0.22599855261996865,0.6195981991709598,0.00012098221950612633,0.8398103493175306,0.0061967082569793774,0.009361814804111135
surgery_only,unknown,lightgbm,2,0.6394168754449022,0.22371858807444595,0.6374732575057419,0.007569665232897563,0.7914585922628313,0.013621063447624926,0.01935577234721808
exclude_2020,all,logistic,0,0.6659022738126601,0.23653547422356208,0.5594322978344456,-7.558611543422261e-05,1.0013072268518401,0.0,0.0
exclude_2020,all,logistic,1,0.6464686773065766,0.2276424973749277,0.6270458670634138,-3.59162684772723e-05,1.0014282799317102,0.02918385665634582,0.037596799709751605
exclude_2020,all,logistic,2,0.6421990657432245,0.2257515055088499,0.6374895294247052,2.2299520996261687e-05,1.000630481787371,0.035595625666994035,0.04559133783256408
exclude_2020,all,lightgbm,0,0.6647302964437082,0.2359843901591463,0.5626582768900888,3.053531946794162e-06,0.9965479499713557,0.0,0.0
exclude_2020,all,lightgbm,1,0.6442461362078153,0.22663869281828006,0.6320875163729893,4.258998132454202e-05,1.0036238665676465,0.030815746394413868,0.03960303194022097
exclude_2020,all,lightgbm,2,0.6374159628654715,0.22357549188884016,0.6486355802742321,-3.403677648655223e-05,1.0285644246806007,0.041090851017875574,0.05258355547134985
exclude_2020,low,logistic,0,0.6844311685571008,0.2456582621509351,0.560489935148477,-7.277407626438441e-06,1.005118043983374,0.0,0.0
exclude_2020,low,logistic,1,0.683463119546548,0.24518612807952156,0.5683340326885806,8.063226743358696e-05,1.0000438255457043,0.001414384754852116,0.0019219140739645812
exclude_2020,low,logistic,2,0.6794448758012663,0.24311768562504907,0.5891037317128966,0.00015360031579435924,0.973153606291374,0.00728530929756821,0.01034191361463388
