stratum,model,bin,mean_predicted,observed
unknown,logistic,8,0.49241578070486886,0.4787305874409183
unknown,logistic,9,0.5242026427247438,0.5671843349088453
unknown,logistic,10,0.5796791526251784,0.5766374071573261
unknown,lightgbm,1,0.22356908963471964,0.24696356275303644
unknown,lightgbm,2,0.29159542513637177,0.305668016194332
unknown,lightgbm,3,0.32957834456425983,0.3475033738191633
unknown,lightgbm,4,0.36356077787285046,0.35290148448043185
unknown,lightgbm,5,0.39583035926630644,0.3866396761133603
unknown,lightgbm,6,0.42861134445919086,0.4331983805668016
unknown,lightgbm,7,0.4665559378528146,0.4649122807017544
unknown,lightgbm,8,0.5112320183396374,0.5226198514517219
unknown,lightgbm,9,0.564557693477616,0.5381498987170831
unknown,lightgbm,10,0.640023829768716,0.6164753544902093
