scenario,stratum,model,contrast,estimate
exclude_2020,intermediate,lightgbm,area,-9.66450965495855
exclude_2020,intermediate,lightgbm,marital,5.462645672532858
exclude_2020,high,logistic,social,0.13465513347083657
exclude_2020,high,logistic,area,-8.372928311088938
exclude_2020,high,logistic,marital,8.485318750753656
exclude_2020,high,lightgbm,social,0.026951058997262578
exclude_2020,high,lightgbm,area,-6.934817079673394
exclude_2020,high,lightgbm,marital,7.936132363812142
exclude_2020,unknown,logistic,social,-0.20196210179256724
exclude_2020,unknown,logistic,area,-12.226923881465055
exclude_2020,unknown,logistic,marital,6.203113033081721
exclude_2020,unknown,lightgbm,social,0.9125615051057707
exclude_2020,unknown,lightgbm,area,-14.547926437836011
exclude_2020,unknown,lightgbm,marital,6.671859126926094
include_2023,all,logistic,social,-1.0441845258493672
include_2023,all,logistic,area,-8.555864016842328
include_2023,all,logistic,marital,6.390805672317541
include_2023,all,lightgbm,social,-1.551668327241309
include_2023,all,lightgbm,area,-8.307588783178836
include_2023,all,lightgbm,marital,5.763943596128826
include_2023,low,logistic,social,-3.2654102433563565
include_2023,low,logistic,area,-10.921863577235293
include_2023,low,logistic,marital,3.2995288943298036
include_2023,low,lightgbm,social,-4.634684598753111
include_2023,low,lightgbm,area,-12.18974757237828
include_2023,low,lightgbm,marital,2.2185866574561075
include_2023,intermediate,logistic,social,-1.4277415227335197
include_2023,intermediate,logistic,area,-7.951470237575208
include_2023,intermediate,logistic,marital,5.9486049913877395
include_2023,intermediate,lightgbm,social,-1.6900847666576908
include_2023,intermediate,lightgbm,area,-9.026245121966618
include_2023,intermediate,lightgbm,marital,5.237536066320075
include_2023,high,logistic,social,0.07985620151284678
include_2023,high,logistic,area,-7.7317506963252
include_2023,high,logistic,marital,7.912949589928118
include_2023,high,lightgbm,social,-0.12592703621375279
include_2023,high,lightgbm,area,-7.035877894984274
include_2023,high,lightgbm,marital,7.292293669009503
include_2023,unknown,logistic,social,-0.1743677271890789
include_2023,unknown,logistic,area,-11.839108385414107
include_2023,unknown,logistic,marital,6.057476918451258
include_2023,unknown,lightgbm,social,-0.2368085215399205
include_2023,unknown,lightgbm,area,-13.411350490722857
include_2023,unknown,lightgbm,marital,5.328717562714104
include_zero_days,all,logistic,social,-1.144173527212736
include_zero_days,all,logistic,area,-9.167246283211995
include_zero_days,all,logistic,marital,6.464659238134509
include_zero_days,all,lightgbm,social,-1.5693932224239049
include_zero_days,all,lightgbm,area,-9.179034070618105
include_zero_days,all,lightgbm,marital,5.790413137589198
include_zero_days,low,logistic,social,-3.4578581596922007
include_zero_days,low,logistic,area,-11.257459742447217
include_zero_days,low,logistic,marital,3.3614863890483733
include_zero_days,low,lightgbm,social,-4.885114551315688
include_zero_days,low,lightgbm,area,-13.286860431076327
include_zero_days,low,lightgbm,marital,2.451802219679159
include_zero_days,intermediate,logistic,social,-1.4561485737339979
include_zero_days,intermediate,logistic,area,-8.690371638902299
include_zero_days,intermediate,logistic,marital,6.274421962966095
include_zero_days,intermediate,lightgbm,social,-1.6637978459812857
include_zero_days,intermediate,lightgbm,area,-9.518066835954933
include_zero_days,intermediate,lightgbm,marital,5.367026303814022
include_zero_days,high,logistic,social,0.020143617270079517
include_zero_days,high,logistic,area,-8.343514647328679
include_zero_days,high,logistic,marital,8.013311455900208
include_zero_days,high,lightgbm,social,-0.10669334165975641
include_zero_days,high,lightgbm,area,-7.137240865131567
include_zero_days,high,lightgbm,marital,7.3209643613255935
include_zero_days,unknown,logistic,social,-0.2453140938055256
include_zero_days,unknown,logistic,area,-11.717299682457426
include_zero_days,unknown,logistic,marital,4.926008806820533
include_zero_days,unknown,lightgbm,social,-0.35186200496329434
include_zero_days,unknown,lightgbm,area,-14.686768201714614
include_zero_days,unknown,lightgbm,marital,4.300798942900499
strict_first_primary,all,logistic,social,-1.1056348027602283
strict_first_primary,all,logistic,area,-9.10696495012894
strict_first_primary,all,logistic,marital,6.615281777935657
strict_first_primary,all,lightgbm,social,-1.624370749546081
strict_first_primary,all,lightgbm,area,-9.250658669633438
strict_first_primary,all,lightgbm,marital,5.647575586069479
strict_first_primary,low,logistic,social,-3.4277019788062972
strict_first_primary,low,logistic,area,-11.125334975822227
strict_first_primary,low,logistic,marital,3.4520042478001685
strict_first_primary,low,lightgbm,social,-4.639409942180549
strict_first_primary,low,lightgbm,area,-12.88807599182789
strict_first_primary,low,lightgbm,marital,1.6308233940649473
strict_first_primary,intermediate,logistic,social,-1.4384245628975876
strict_first_primary,intermediate,logistic,area,-8.62502286081493
strict_first_primary,intermediate,logistic,marital,6.396393728962423
strict_first_primary,intermediate,lightgbm,social,-1.7030949954337018
strict_first_primary,intermediate,lightgbm,area,-9.604559302596684
strict_first_primary,intermediate,lightgbm,marital,5.374630480469484
strict_first_primary,high,logistic,social,0.03336097064875787
strict_first_primary,high,logistic,area,-8.246179296819289
strict_first_primary,high,logistic,marital,8.11591812685981
strict_first_primary,high,lightgbm,social,-0.03588782814194502
strict_first_primary,high,lightgbm,area,-6.71736069780426
strict_first_primary,high,lightgbm,marital,7.307723164858821
strict_first_primary,unknown,logistic,social,0.1173971451316973
strict_first_primary,unknown,logistic,area,-12.740836516194381
strict_first_primary,unknown,logistic,marital,5.747204292346865
strict_first_primary,unknown,lightgbm,social,-0.26792197425417186
strict_first_primary,unknown,lightgbm,area,-14.972241847189974
strict_first_primary,unknown,lightgbm,marital,5.508251316584712
exclude_prostatectomy_nos,all,logistic,social,-1.101042304065352
exclude_prostatectomy_nos,all,logistic,area,-9.204627181383078
exclude_prostatectomy_nos,all,logistic,marital,6.72848984341055
exclude_prostatectomy_nos,all,lightgbm,social,-1.6337001985838668
exclude_prostatectomy_nos,all,lightgbm,area,-9.090120835186013
exclude_prostatectomy_nos,all,lightgbm,marital,5.868083724497204
exclude_prostatectomy_nos,low,logistic,social,-3.411196687834668
exclude_prostatectomy_nos,low,logistic,area,-11.290894473623936
exclude_prostatectomy_nos,low,logistic,marital,3.5013933652805207
exclude_prostatectomy_nos,low,lightgbm,social,-4.781906561817031
exclude_prostatectomy_nos,low,lightgbm,area,-13.313471556115438
exclude_prostatectomy_nos,low,lightgbm,marital,2.3365431748933716
exclude_prostatectomy_nos,intermediate,logistic,social,-1.443653126866458
